time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2019-02-04T18:03:13,0,1,0,0,-0.094,-0.109,-0.113,-0.109,-0.117,-0.102,-0.105,-0.105,-0.129,-0.109,0.805,0.789,0.801,0.793,0.789,0.797,0.805,0.801,0.816,0.789,0.594,0.578,0.59,0.582,0.57,0.582,0.598,0.594,0.586,0.574
2019-02-04T18:03:23,0,1,0,0,-0.109,-0.105,-0.105,-0.098,-0.105,-0.102,-0.094,-0.094,-0.113,-0.109,0.809,0.797,0.801,0.793,0.801,0.793,0.793,0.797,0.805,0.801,0.586,0.594,0.586,0.586,0.586,0.586,0.586,0.59,0.586,0.582
2019-02-04T18:03:33,0,1,0,0,-0.117,-0.113,-0.102,-0.113,-0.113,-0.117,-0.102,-0.105,-0.105,-0.105,0.809,0.793,0.762,0.805,0.805,0.805,0.801,0.793,0.797,0.797,0.586,0.574,0.559,0.582,0.594,0.59,0.594,0.598,0.598,0.594
2019-02-04T18:03:43,0,1,0,0,-0.098,-0.105,-0.113,-0.105,-0.105,-0.082,-0.133,-0.016,-0.004,-0.059,0.801,0.793,0.793,0.805,0.805,0.793,0.73,0.824,0.793,0.824,0.582,0.582,0.578,0.586,0.594,0.609,0.613,0.57,0.633,0.563
2019-02-04T18:03:53,0,1,0,0,-0.051,-0.125,-0.098,-0.117,-0.145,-0.148,-0.152,-0.145,-0.145,-0.152,0.805,0.82,0.785,0.793,0.785,0.801,0.824,0.801,0.805,0.809,0.574,0.602,0.59,0.578,0.609,0.582,0.574,0.57,0.57,0.57
2019-02-04T18:04:03,0,1,0,0,-0.16,-0.172,-0.16,-0.16,-0.156,-0.043,-0.074,-0.078,-0.082,-0.094,0.828,0.809,0.813,0.801,0.801,0.777,0.836,0.809,0.82,0.809,0.57,0.563,0.57,0.574,0.566,0.637,0.559,0.586,0.594,0.59
2019-02-04T18:04:13,0,1,0,0,-0.105,-0.09,-0.094,-0.102,-0.098,-0.102,-0.113,-0.105,-0.082,-0.109,0.816,0.801,0.816,0.801,0.801,0.797,0.816,0.809,0.816,0.789,0.582,0.582,0.582,0.574,0.57,0.57,0.574,0.57,0.57,0.598
2019-02-04T18:04:23,0,1,0,0,-0.094,-0.164,-0.137,-0.145,-0.148,-0.148,-0.137,-0.145,-0.133,-0.141,0.801,0.793,0.809,0.805,0.797,0.797,0.797,0.793,0.793,0.797,0.582,0.582,0.586,0.586,0.578,0.578,0.59,0.582,0.574,0.602
2019-02-04T18:04:33,0,1,0,0,-0.172,-0.16,-0.168,-0.16,-0.145,-0.145,-0.148,-0.113,-0.133,-0.129,0.813,0.801,0.801,0.801,0.793,0.789,0.789,0.785,0.797,0.797,0.582,0.59,0.574,0.574,0.582,0.594,0.594,0.594,0.602,0.602
2019-02-04T18:04:43,0,1,0,0,-0.137,-0.133,-0.098,-0.031,-0.012,-0.012,-0.016,-0.023,-0.023,-0.043,0.797,0.797,0.75,0.762,0.734,0.805,0.809,0.793,0.801,0.805,0.602,0.598,0.57,0.586,0.566,0.578,0.613,0.598,0.59,0.578
2019-02-04T18:04:53,0,1,0,0,-0.035,-0.047,-0.043,-0.043,-0.047,-0.047,-0.047,-0.047,-0.047,-0.047,0.809,0.793,0.793,0.809,0.813,0.809,0.82,0.816,0.809,0.82,0.59,0.578,0.578,0.582,0.586,0.59,0.586,0.574,0.57,0.566
2019-02-04T18:05:03,0,1,0,0,-0.059,-0.055,-0.043,-0.031,-0.043,-0.047,-0.027,-0.031,-0.109,-0.094,0.82,0.816,0.813,0.82,0.82,0.797,0.82,0.813,0.789,0.797,0.57,0.59,0.578,0.578,0.566,0.563,0.578,0.598,0.605,0.57
2019-02-04T18:05:13,0,1,0,0,-0.125,-0.113,-0.105,-0.105,-0.105,-0.125,-0.113,-0.094,-0.125,-0.105,0.836,0.824,0.82,0.82,0.816,0.813,0.801,0.809,0.801,0.813,0.566,0.566,0.57,0.582,0.566,0.578,0.57,0.578,0.57,0.57
2019-02-04T18:05:23,0,1,0,0,-0.086,-0.109,-0.086,-0.078,-0.109,-0.094,-0.082,-0.094,-0.098,-0.082,0.816,0.824,0.828,0.816,0.82,0.813,0.813,0.801,0.797,0.816,0.574,0.578,0.586,0.582,0.574,0.57,0.578,0.574,0.574,0.582
2019-02-04T18:05:33,0,1,0,0,-0.074,-0.082,-0.074,-0.094,-0.098,-0.086,-0.082,-0.09,-0.07,-0.082,0.828,0.809,0.809,0.813,0.82,0.805,0.805,0.805,0.797,0.793,0.578,0.57,0.586,0.59,0.582,0.574,0.582,0.59,0.59,0.57
2019-02-04T18:05:43,0,1,0,0,-0.074,-0.078,-0.082,-0.074,-0.078,-0.074,-0.094,-0.078,-0.062,-0.066,0.82,0.816,0.801,0.805,0.813,0.809,0.813,0.801,0.797,0.813,0.586,0.594,0.59,0.582,0.586,0.586,0.586,0.582,0.586,0.586
2019-02-04T18:05:53,0,1,0,0,-0.031,-0.074,-0.031,-0.043,-0.066,-0.047,-0.062,-0.051,-0.059,-0.066,0.832,0.773,0.781,0.781,0.793,0.793,0.793,0.793,0.797,0.793,0.578,0.613,0.617,0.602,0.609,0.605,0.609,0.613,0.613,0.598
2019-02-04T18:06:03,0,1,0,0,-0.074,-0.074,-0.09,-0.078,-0.062,-0.074,-0.078,-0.078,-0.09,-0.082,0.805,0.793,0.793,0.797,0.793,0.805,0.801,0.801,0.781,0.793,0.598,0.59,0.594,0.598,0.598,0.602,0.59,0.598,0.602,0.594
2019-02-04T18:06:13,0,1,0,0,-0.078,-0.09,-0.109,-0.105,-0.094,-0.09,-0.078,-0.113,-0.086,-0.066,0.813,0.793,0.809,0.801,0.793,0.785,0.797,0.801,0.805,0.793,0.594,0.598,0.602,0.598,0.598,0.582,0.594,0.598,0.602,0.598
