x,y,z,sitting,standing,walking,grazing
0.438,0.844,0.309,0,0,1,0
-0.184,-0.82,-0.68,0,0,1,0
0.652,0.711,0.148,0,0,1,0
1.031,0.703,0.395,0,0,1,0
0.711,0.48,0.473,0,0,1,0
0.641,0.547,0.504,0,0,1,0
0.777,0.465,0.461,0,0,1,0
0.555,0.777,0.461,0,0,1,0
0.805,0.879,1.188,0,0,1,0
-0.926,-1.18,-0.168,0,0,1,0
0.512,0.949,0.641,0,0,1,0
0.859,0.59,0.621,0,0,1,0
0.648,0.645,0.492,0,0,1,0
0.859,0.32,0.168,0,0,1,0
0.734,0.617,0.395,0,0,1,0
0.68,0.605,0.367,0,0,1,0
0.645,0.695,0.355,0,0,1,0
0.551,0.613,0.336,0,0,1,0
0.535,0.469,0.238,0,0,1,0
0.664,0.691,0.488,0,0,1,0
-0.215,0.902,0.41,0,1,0,0
-0.199,0.848,0.391,0,1,0,0
-0.238,0.91,0.387,0,1,0,0
-0.211,0.898,0.398,0,1,0,0
-0.23,0.887,0.395,0,1,0,0
-0.211,0.891,0.395,0,1,0,0
-0.223,0.891,0.402,0,1,0,0
-0.238,0.891,0.418,0,1,0,0
-0.262,0.844,0.43,0,1,0,0
-0.246,0.871,0.43,0,1,0,0
-0.234,0.863,0.387,0,1,0,0
-0.246,0.859,0.387,0,1,0,0
-0.262,0.84,0.371,0,1,0,0
-0.234,0.859,0.41,0,1,0,0
-0.281,0.863,0.387,0,1,0,0
-0.277,0.879,0.406,0,1,0,0
-0.273,0.879,0.395,0,1,0,0
-0.281,0.887,0.391,0,1,0,0
-0.328,0.879,0.414,0,1,0,0
-0.234,0.867,0.387,0,1,0,0
-0.328,0.887,0.387,0,1,0,0
-0.25,0.867,0.383,0,1,0,0
-0.344,0.871,0.383,0,1,0,0
-0.242,0.855,0.445,0,1,0,0
-0.266,0.883,0.383,0,1,0,0
-0.281,0.848,0.367,0,1,0,0
-0.383,0.867,0.352,0,1,0,0
-0.309,0.879,0.359,0,1,0,0
-0.391,0.859,0.352,0,1,0,0
-0.309,0.863,0.359,0,1,0,0
-0.387,0.875,0.352,0,1,0,0
-0.32,0.855,0.348,0,1,0,0
-0.379,0.871,0.328,0,1,0,0
-0.34,0.871,0.375,0,1,0,0
-0.289,0.887,0.398,0,1,0,0
-0.262,0.836,0.383,0,1,0,0
-0.266,0.895,0.391,0,1,0,0
-0.297,0.887,0.395,0,1,0,0
-0.23,0.875,0.402,0,1,0,0
-0.262,0.914,0.41,0,1,0,0
-0.227,0.863,0.391,0,1,0,0
-0.227,0.906,0.402,0,1,0,0
-0.203,0.914,0.398,0,1,0,0
-0.223,0.918,0.41,0,1,0,0
-0.242,0.883,0.387,0,1,0,0
-0.211,0.883,0.391,0,1,0,0
-0.211,0.898,0.414,0,1,0,0
-0.219,0.883,0.414,0,1,0,0
-0.219,0.887,0.41,0,1,0,0
-0.219,0.875,0.398,0,1,0,0
-0.23,0.91,0.43,0,1,0,0
-0.234,0.875,0.418,0,1,0,0
-0.195,0.84,0.43,0,1,0,0
-0.199,0.828,0.48,0,1,0,0
-0.25,0.906,0.391,0,1,0,0
-0.184,0.922,0.395,0,1,0,0
-0.258,0.867,0.391,0,1,0,0
-0.254,0.852,0.387,0,1,0,0
-0.23,0.789,0.48,0,1,0,0
-0.23,0.871,0.418,0,1,0,0
-0.184,0.879,0.398,0,1,0,0
-0.168,0.891,0.406,0,1,0,0
-0.184,0.902,0.402,0,1,0,0
-0.195,0.871,0.383,0,1,0,0
-0.156,0.902,0.406,0,1,0,0
-0.156,0.883,0.43,0,1,0,0
-0.211,0.91,0.434,0,1,0,0
-0.156,0.867,0.398,0,1,0,0
-0.195,0.875,0.418,0,1,0,0
-0.16,0.867,0.426,0,1,0,0
-0.148,0.898,0.441,0,1,0,0
