time_stamp,sitting,standing,walking,grazing,x_0,x_29,x_59,x_89,x_119,x_149,x_179,x_209,x_239,x_269,y_0,y_29,y_59,y_89,y_119,y_149,y_179,y_209,y_239,y_269,z_0,z_29,z_59,z_89,z_119,z_149,z_179,z_209,z_239,z_269
2018-12-10T13:51:41,0,0,1,0,0.438,-0.184,0.652,1.031,0.711,0.641,0.777,0.555,0.805,-0.926,0.844,-0.82,0.711,0.703,0.48,0.547,0.465,0.777,0.879,-1.18,0.309,-0.68,0.148,0.395,0.473,0.504,0.461,0.461,1.188,-0.168
2018-12-10T13:51:51,0,0,1,0,0.512,0.859,0.648,0.859,0.734,0.68,0.645,0.551,0.535,0.664,0.949,0.59,0.645,0.32,0.617,0.605,0.695,0.613,0.469,0.691,0.641,0.621,0.492,0.168,0.395,0.367,0.355,0.336,0.238,0.488
2018-12-10T14:07:03,0,1,0,0,-0.215,-0.199,-0.238,-0.211,-0.23,-0.211,-0.223,-0.238,-0.262,-0.246,0.902,0.848,0.91,0.898,0.887,0.891,0.891,0.891,0.844,0.871,0.41,0.391,0.387,0.398,0.395,0.395,0.402,0.418,0.43,0.43
2018-12-10T14:07:23,0,1,0,0,-0.234,-0.246,-0.262,-0.234,-0.281,-0.277,-0.273,-0.281,-0.328,-0.234,0.863,0.859,0.84,0.859,0.863,0.879,0.879,0.887,0.879,0.867,0.387,0.387,0.371,0.41,0.387,0.406,0.395,0.391,0.414,0.387
2018-12-10T14:07:33,0,1,0,0,-0.328,-0.25,-0.344,-0.242,-0.266,-0.281,-0.383,-0.309,-0.391,-0.309,0.887,0.867,0.871,0.855,0.883,0.848,0.867,0.879,0.859,0.863,0.387,0.383,0.383,0.445,0.383,0.367,0.352,0.359,0.352,0.359
2018-12-10T14:07:43,0,1,0,0,-0.387,-0.32,-0.379,-0.34,-0.289,-0.262,-0.266,-0.297,-0.23,-0.262,0.875,0.855,0.871,0.871,0.887,0.836,0.895,0.887,0.875,0.914,0.352,0.348,0.328,0.375,0.398,0.383,0.391,0.395,0.402,0.41
2018-12-10T14:07:53,0,1,0,0,-0.227,-0.227,-0.203,-0.223,-0.242,-0.211,-0.211,-0.219,-0.219,-0.219,0.863,0.906,0.914,0.918,0.883,0.883,0.898,0.883,0.887,0.875,0.391,0.402,0.398,0.41,0.387,0.391,0.414,0.414,0.41,0.398
2018-12-10T14:08:03,0,1,0,0,-0.23,-0.234,-0.195,-0.199,-0.25,-0.184,-0.258,-0.254,-0.23,-0.23,0.91,0.875,0.84,0.828,0.906,0.922,0.867,0.852,0.789,0.871,0.43,0.418,0.43,0.48,0.391,0.395,0.391,0.387,0.48,0.418
2018-12-10T14:08:13,0,1,0,0,-0.184,-0.168,-0.184,-0.195,-0.156,-0.156,-0.211,-0.156,-0.195,-0.16,0.879,0.891,0.902,0.871,0.902,0.883,0.91,0.867,0.875,0.867,0.398,0.406,0.402,0.383,0.406,0.43,0.434,0.398,0.418,0.426
2018-12-10T14:08:23,0,1,0,0,-0.148,-0.168,-0.113,-0.102,-0.113,-0.137,-0.16,-0.137,-0.125,-0.125,0.898,0.859,0.875,0.891,0.871,0.859,0.867,0.867,0.859,0.871,0.441,0.441,0.461,0.453,0.438,0.449,0.461,0.438,0.445,0.449
