time_stamp,x,y,z,sitting,standing,walking,grazing
2018-12-10 13:51:41,0.438,0.844,0.309,0,0,1,0
2018-12-10 13:51:42,-0.184,-0.82,-0.68,0,0,1,0
2018-12-10 13:51:43,0.652,0.711,0.148,0,0,1,0
2018-12-10 13:51:44,1.031,0.703,0.395,0,0,1,0
2018-12-10 13:51:45,0.711,0.48,0.473,0,0,1,0
2018-12-10 13:51:46,0.641,0.547,0.504,0,0,1,0
2018-12-10 13:51:47,0.777,0.465,0.461,0,0,1,0
2018-12-10 13:51:48,0.555,0.777,0.461,0,0,1,0
2018-12-10 13:51:49,0.805,0.879,1.188,0,0,1,0
2018-12-10 13:51:50,0.659,-1.18,0.914,0,0,1,0
2018-12-10 13:51:51,0.512,0.949,0.641,0,0,1,0
2018-12-10 13:51:52,0.859,0.59,0.621,0,0,1,0
2018-12-10 13:51:53,0.648,0.645,0.492,0,0,1,0
2018-12-10 13:51:54,0.859,0.32,0.168,0,0,1,0
2018-12-10 13:51:55,0.734,0.617,0.395,0,0,1,0
2018-12-10 13:51:56,0.68,0.605,0.367,0,0,1,0
2018-12-10 13:51:57,0.645,0.695,0.355,0,0,1,0
2018-12-10 13:51:58,0.551,0.613,0.336,0,0,1,0
2018-12-10 13:51:59,0.535,0.469,0.238,0,0,1,0
2018-12-10 13:52:00,0.664,0.691,0.488,0,0,1,0
2018-12-10 13:52:01,-0.215,0.902,0.41,0,1,0,0
2018-12-10 13:52:02,-0.199,0.848,0.391,0,1,0,0
2018-12-10 13:52:03,-0.238,0.91,0.387,0,1,0,0
2018-12-10 13:52:04,-0.211,0.898,0.398,0,1,0,0
2018-12-10 13:52:05,-0.23,0.887,0.395,0,1,0,0
2018-12-10 13:52:06,-0.211,0.891,0.395,0,1,0,0
2018-12-10 13:52:07,-0.223,0.891,0.402,0,1,0,0
2018-12-10 13:52:08,-0.238,0.891,0.418,0,1,0,0
2018-12-10 13:52:09,-0.262,0.844,0.43,0,1,0,0
2018-12-10 13:52:10,-0.246,0.871,0.43,0,1,0,0
2018-12-10 13:52:11,-0.234,0.863,0.387,0,1,0,0
2018-12-10 13:52:12,-0.246,0.859,0.387,0,1,0,0
2018-12-10 13:52:13,-0.262,0.84,0.371,0,1,0,0
2018-12-10 13:52:14,-0.234,0.859,0.41,0,1,0,0
2018-12-10 13:52:15,-0.281,0.863,0.387,0,1,0,0
2018-12-10 13:52:16,-0.277,0.879,0.406,0,1,0,0
2018-12-10 13:52:17,-0.273,0.879,0.395,0,1,0,0
2018-12-10 13:52:18,-0.281,0.887,0.391,0,1,0,0
2018-12-10 13:52:19,-0.328,0.879,0.414,0,1,0,0
2018-12-10 13:52:20,-0.234,0.867,0.387,0,1,0,0
2018-12-10 13:52:21,-0.328,0.887,0.387,0,1,0,0
2018-12-10 13:52:22,-0.25,0.867,0.383,0,1,0,0
2018-12-10 13:52:23,-0.344,0.871,0.383,0,1,0,0
2018-12-10 13:52:24,-0.242,0.855,0.445,0,1,0,0
2018-12-10 13:52:25,-0.266,0.883,0.383,0,1,0,0
2018-12-10 13:52:26,-0.281,0.848,0.367,0,1,0,0
2018-12-10 13:52:27,-0.383,0.867,0.352,0,1,0,0
2018-12-10 13:52:28,-0.309,0.879,0.359,0,1,0,0
2018-12-10 13:52:29,-0.391,0.859,0.352,0,1,0,0
2018-12-10 13:52:30,-0.309,0.863,0.359,0,1,0,0
2018-12-10 13:52:31,-0.387,0.875,0.352,0,1,0,0
2018-12-10 13:52:32,-0.32,0.855,0.348,0,1,0,0
2018-12-10 13:52:33,-0.379,0.871,0.328,0,1,0,0
2018-12-10 13:52:34,-0.34,0.871,0.375,0,1,0,0
2018-12-10 13:52:35,-0.289,0.887,0.398,0,1,0,0
2018-12-10 13:52:36,-0.262,0.836,0.394,0,1,0,0
2018-12-10 13:52:37,-0.266,0.895,0.391,0,1,0,0
2018-12-10 13:52:38,-0.297,0.887,0.395,0,1,0,0
2018-12-10 13:52:39,-0.23,0.875,0.402,0,1,0,0
2018-12-10 13:52:40,-0.262,0.914,0.41,0,1,0,0
2018-12-10 13:52:41,-0.227,0.863,0.391,0,1,0,0
2018-12-10 13:52:42,-0.227,0.906,0.402,0,1,0,0
2018-12-10 13:52:43,-0.203,0.914,0.398,0,1,0,0
2018-12-10 13:52:44,-0.223,0.918,0.41,0,1,0,0
2018-12-10 13:52:45,-0.242,0.883,0.387,0,1,0,0
2018-12-10 13:52:46,-0.211,0.883,0.391,0,1,0,0
2018-12-10 13:52:47,-0.211,0.898,0.414,0,1,0,0
2018-12-10 13:52:48,-0.219,0.883,0.414,0,1,0,0
2018-12-10 13:52:49,-0.219,0.887,0.41,0,1,0,0
2018-12-10 13:52:50,-0.219,0.875,0.398,0,1,0,0
2018-12-10 13:52:51,-0.23,0.91,0.43,0,1,0,0
2018-12-10 13:52:52,-0.234,0.875,0.418,0,1,0,0
2018-12-10 13:52:53,-0.195,0.84,0.43,0,1,0,0
2018-12-10 13:52:54,-0.199,0.828,0.48,0,1,0,0
2018-12-10 13:52:55,-0.25,0.906,0.391,0,1,0,0
2018-12-10 13:52:56,-0.184,0.922,0.395,0,1,0,0
2018-12-10 13:52:57,-0.258,0.867,0.391,0,1,0,0
2018-12-10 13:52:58,-0.254,0.852,0.436,0,1,0,0
2018-12-10 13:52:59,-0.23,0.789,0.48,0,1,0,0
2018-12-10 13:53:00,-0.23,0.871,0.418,0,1,0,0
2018-12-10 13:53:01,-0.184,0.879,0.398,0,1,0,0
2018-12-10 13:53:02,-0.168,0.891,0.406,0,1,0,0
2018-12-10 13:53:03,-0.184,0.902,0.402,0,1,0,0
2018-12-10 13:53:04,-0.195,0.871,0.383,0,1,0,0
2018-12-10 13:53:05,-0.156,0.902,0.406,0,1,0,0
2018-12-10 13:53:06,-0.156,0.883,0.43,0,1,0,0
2018-12-10 13:53:07,-0.211,0.91,0.434,0,1,0,0
2018-12-10 13:53:08,-0.156,0.867,0.398,0,1,0,0
2018-12-10 13:53:09,-0.195,0.875,0.418,0,1,0,0
2018-12-10 13:53:10,-0.16,0.867,0.426,0,1,0,0
2018-12-10 13:53:11,-0.148,0.898,0.441,0,1,0,0
2018-12-10 13:53:12,-0.168,0.859,0.441,0,1,0,0
2018-12-10 13:53:13,-0.113,0.875,0.461,0,1,0,0
2018-12-10 13:53:14,-0.102,0.891,0.453,0,1,0,0
2018-12-10 13:53:15,-0.113,0.871,0.438,0,1,0,0
2018-12-10 13:53:16,-0.137,0.859,0.449,0,1,0,0
2018-12-10 13:53:17,-0.16,0.867,0.461,0,1,0,0
2018-12-10 13:53:18,-0.137,0.867,0.438,0,1,0,0
2018-12-10 13:53:19,-0.125,0.859,0.445,0,1,0,0
2018-12-10 13:53:20,-0.125,0.871,0.449,0,1,0,0
2018-12-10 13:53:21,-0.129,0.863,0.43,0,1,0,0
2018-12-10 13:53:22,-0.105,0.867,0.445,0,1,0,0
2018-12-10 13:53:23,-0.098,0.855,0.465,0,1,0,0
2018-12-10 13:53:24,-0.133,0.852,0.465,0,1,0,0
2018-12-10 13:53:25,-0.129,0.863,0.473,0,1,0,0
2018-12-10 13:53:26,-0.117,0.871,0.465,0,1,0,0
2018-12-10 13:53:27,-0.121,0.879,0.469,0,1,0,0
2018-12-10 13:53:28,-0.098,0.883,0.473,0,1,0,0
2018-12-10 13:53:29,-0.078,0.875,0.465,0,1,0,0
2018-12-10 13:53:30,-0.105,0.879,0.469,0,1,0,0
2018-12-10 13:53:31,-0.086,0.875,0.449,0,1,0,0
2018-12-10 13:53:32,-0.078,0.887,0.48,0,1,0,0
2018-12-10 13:53:33,-0.07,0.867,0.453,0,1,0,0
2018-12-10 13:53:34,-0.094,0.867,0.453,0,1,0,0
2018-12-10 13:53:35,-0.082,0.859,0.461,0,1,0,0
2018-12-10 13:53:36,-0.059,0.859,0.453,0,1,0,0
2018-12-10 13:53:37,-0.09,0.867,0.461,0,1,0,0
2018-12-10 13:53:38,-0.07,0.883,0.475,0,1,0,0
2018-12-10 13:53:39,-0.062,0.883,0.488,0,1,0,0
2018-12-10 13:53:40,-0.059,0.883,0.473,0,1,0,0
2018-12-10 13:53:41,-0.094,0.867,0.473,0,1,0,0
2018-12-10 13:53:42,-0.086,0.852,0.457,0,1,0,0
2018-12-10 13:53:43,-0.199,0.883,0.496,0,1,0,0
2018-12-10 13:53:44,-0.254,0.863,0.445,0,1,0,0
2018-12-10 13:53:45,-0.297,0.828,0.449,0,1,0,0
2018-12-10 13:53:46,-0.406,0.813,0.379,0,1,0,0
2018-12-10 13:53:47,-0.398,0.816,0.383,0,1,0,0
2018-12-10 13:53:48,-0.375,0.828,0.387,0,1,0,0
2018-12-10 13:53:49,-0.301,0.848,0.418,0,1,0,0
2018-12-10 13:53:50,-0.297,0.855,0.422,0,1,0,0
2018-12-10 13:53:51,-0.324,0.867,0.434,0,1,0,0
2018-12-10 13:53:52,-0.242,0.867,0.43,0,1,0,0
2018-12-10 13:53:53,-0.227,0.848,0.418,0,1,0,0
2018-12-10 13:53:54,-0.219,0.855,0.465,0,1,0,0
2018-12-10 13:53:55,-0.316,0.84,0.406,0,1,0,0
2018-12-10 13:53:56,-0.348,0.824,0.414,0,1,0,0
2018-12-10 13:53:57,-0.312,0.855,0.426,0,1,0,0
2018-12-10 13:53:58,-0.258,0.855,0.453,0,1,0,0
2018-12-10 13:53:59,-0.328,0.84,0.41,0,1,0,0
2018-12-10 13:54:00,-0.32,0.836,0.422,0,1,0,0
2018-12-10 13:54:01,-0.355,0.863,0.395,0,1,0,0
2018-12-10 13:54:02,-0.324,0.867,0.398,0,1,0,0
2018-12-10 13:54:03,-0.301,0.852,0.387,0,1,0,0
2018-12-10 13:54:04,-0.309,0.832,0.41,0,1,0,0
2018-12-10 13:54:05,-0.297,0.848,0.414,0,1,0,0
2018-12-10 13:54:06,-0.289,0.855,0.418,0,1,0,0
2018-12-10 13:54:07,-0.312,0.836,0.414,0,1,0,0
2018-12-10 13:54:08,-0.281,0.863,0.391,0,1,0,0
2018-12-10 13:54:09,-0.273,0.836,0.414,0,1,0,0
2018-12-10 13:54:10,-0.32,0.84,0.391,0,1,0,0
2018-12-10 13:54:11,-0.285,0.844,0.422,0,1,0,0
2018-12-10 13:54:12,-0.246,0.828,0.418,0,1,0,0
2018-12-10 13:54:13,-0.289,0.859,0.414,0,1,0,0
2018-12-10 13:54:14,-0.242,0.879,0.406,0,1,0,0
2018-12-10 13:54:15,-0.254,0.832,0.422,0,1,0,0
2018-12-10 13:54:16,-0.281,0.867,0.43,0,1,0,0
2018-12-10 13:54:17,-0.277,0.848,0.406,0,1,0,0
2018-12-10 13:54:18,-0.215,0.852,0.426,0,1,0,0
2018-12-10 13:54:19,-0.258,0.828,0.438,0,1,0,0
2018-12-10 13:54:20,-0.25,0.855,0.43,0,1,0,0
2018-12-10 13:54:21,-0.254,0.867,0.434,0,1,0,0
2018-12-10 13:54:22,-0.258,0.824,0.43,0,1,0,0
2018-12-10 13:54:23,-0.262,0.879,0.43,0,1,0,0
2018-12-10 13:54:24,-0.242,0.844,0.438,0,1,0,0
2018-12-10 13:54:25,-0.262,0.871,0.457,0,1,0,0
2018-12-10 13:54:26,-0.266,0.844,0.414,0,1,0,0
2018-12-10 13:54:27,-0.316,0.816,0.43,0,1,0,0
2018-12-10 13:54:28,-0.32,0.867,0.465,0,1,0,0
2018-12-10 13:54:29,-0.305,0.832,0.414,0,1,0,0
2018-12-10 13:54:30,-0.316,0.82,0.426,0,1,0,0
