time_stamp,x,y,z,sitting,standing,walking,grazing,z_score_x,z_score_y,z_score_z
2018-12-10 13:51:41,0.438,0.844,0.309,0,0,1,0,0.386,0.546,-0.935
2018-12-10 13:51:42,-0.184,-0.82,-0.68,0,0,1,0,-1.196,-8.394,-7.863
2018-12-10 13:51:43,0.652,0.711,0.148,0,0,1,0,0.93,-0.169,-2.063
2018-12-10 13:51:44,1.031,0.703,0.395,0,0,1,0,1.894,-0.212,-0.333
2018-12-10 13:51:45,0.711,0.48,0.473,0,0,1,0,1.08,-1.41,0.213
2018-12-10 13:51:46,0.641,0.547,0.504,0,0,1,0,0.902,-1.05,0.43
2018-12-10 13:51:47,0.777,0.465,0.461,0,0,1,0,1.248,-1.491,0.129
2018-12-10 13:51:48,0.555,0.777,0.461,0,0,1,0,0.683,0.186,0.129
2018-12-10 13:51:49,0.805,0.879,1.188,0,0,1,0,1.319,0.734,5.221
2018-12-10 13:51:50,-0.926,-1.18,-0.168,0,0,1,0,-3.083,-10.328,-4.277
2018-12-10 13:51:51,0.512,0.949,0.641,0,0,1,0,0.574,1.11,1.39
2018-12-10 13:51:52,0.859,0.59,0.621,0,0,1,0,1.457,-0.819,1.25
2018-12-10 13:51:53,0.648,0.645,0.492,0,0,1,0,0.92,-0.524,0.346
2018-12-10 13:51:54,0.859,0.32,0.168,0,0,1,0,1.457,-2.27,-1.923
2018-12-10 13:51:55,0.734,0.617,0.395,0,0,1,0,1.139,-0.674,-0.333
2018-12-10 13:51:56,0.68,0.605,0.367,0,0,1,0,1.001,-0.739,-0.529
2018-12-10 13:51:57,0.645,0.695,0.355,0,0,1,0,0.912,-0.255,-0.613
2018-12-10 13:51:58,0.551,0.613,0.336,0,0,1,0,0.673,-0.696,-0.746
2018-12-10 13:51:59,0.535,0.469,0.238,0,0,1,0,0.633,-1.469,-1.433
2018-12-10 13:52:00,0.664,0.691,0.488,0,0,1,0,0.961,-0.276,0.318
2018-12-10 13:52:01,-0.215,0.902,0.41,0,1,0,0,-1.275,0.857,-0.228
2018-12-10 13:52:02,-0.199,0.848,0.391,0,1,0,0,-1.234,0.567,-0.361
2018-12-10 13:52:03,-0.238,0.91,0.387,0,1,0,0,-1.333,0.9,-0.389
2018-12-10 13:52:04,-0.211,0.898,0.398,0,1,0,0,-1.265,0.836,-0.312
2018-12-10 13:52:05,-0.23,0.887,0.395,0,1,0,0,-1.313,0.777,-0.333
2018-12-10 13:52:06,-0.211,0.891,0.395,0,1,0,0,-1.265,0.798,-0.333
2018-12-10 13:52:07,-0.223,0.891,0.402,0,1,0,0,-1.295,0.798,-0.284
2018-12-10 13:52:08,-0.238,0.891,0.418,0,1,0,0,-1.333,0.798,-0.172
2018-12-10 13:52:09,-0.262,0.844,0.43,0,1,0,0,-1.394,0.546,-0.088
2018-12-10 13:52:10,-0.246,0.871,0.43,0,1,0,0,-1.354,0.691,-0.088
2018-12-10 13:52:11,-0.234,0.863,0.387,0,1,0,0,-1.323,0.648,-0.389
2018-12-10 13:52:12,-0.246,0.859,0.387,0,1,0,0,-1.354,0.626,-0.389
2018-12-10 13:52:13,-0.262,0.84,0.371,0,1,0,0,-1.394,0.524,-0.501
2018-12-10 13:52:14,-0.234,0.859,0.41,0,1,0,0,-1.323,0.626,-0.228
2018-12-10 13:52:15,-0.281,0.863,0.387,0,1,0,0,-1.443,0.648,-0.389
2018-12-10 13:52:16,-0.277,0.879,0.406,0,1,0,0,-1.432,0.734,-0.256
2018-12-10 13:52:17,-0.273,0.879,0.395,0,1,0,0,-1.422,0.734,-0.333
2018-12-10 13:52:18,-0.281,0.887,0.391,0,1,0,0,-1.443,0.777,-0.361
2018-12-10 13:52:19,-0.328,0.879,0.414,0,1,0,0,-1.562,0.734,-0.2
2018-12-10 13:52:20,-0.234,0.867,0.387,0,1,0,0,-1.323,0.669,-0.389
2018-12-10 13:52:21,-0.328,0.887,0.387,0,1,0,0,-1.562,0.777,-0.389
2018-12-10 13:52:22,-0.25,0.867,0.383,0,1,0,0,-1.364,0.669,-0.417
2018-12-10 13:52:23,-0.344,0.871,0.383,0,1,0,0,-1.603,0.691,-0.417
2018-12-10 13:52:24,-0.242,0.855,0.445,0,1,0,0,-1.343,0.605,0.017
2018-12-10 13:52:25,-0.266,0.883,0.383,0,1,0,0,-1.404,0.755,-0.417
2018-12-10 13:52:26,-0.281,0.848,0.367,0,1,0,0,-1.443,0.567,-0.529
2018-12-10 13:52:27,-0.383,0.867,0.352,0,1,0,0,-1.702,0.669,-0.634
2018-12-10 13:52:28,-0.309,0.879,0.359,0,1,0,0,-1.514,0.734,-0.585
2018-12-10 13:52:29,-0.391,0.859,0.352,0,1,0,0,-1.722,0.626,-0.634
2018-12-10 13:52:30,-0.309,0.863,0.359,0,1,0,0,-1.514,0.648,-0.585
2018-12-10 13:52:31,-0.387,0.875,0.352,0,1,0,0,-1.712,0.712,-0.634
2018-12-10 13:52:32,-0.32,0.855,0.348,0,1,0,0,-1.542,0.605,-0.662
2018-12-10 13:52:33,-0.379,0.871,0.328,0,1,0,0,-1.692,0.691,-0.802
2018-12-10 13:52:34,-0.34,0.871,0.375,0,1,0,0,-1.593,0.691,-0.473
2018-12-10 13:52:35,-0.289,0.887,0.398,0,1,0,0,-1.463,0.777,-0.312
2018-12-10 13:52:36,-0.262,0.836,0.383,0,1,0,0,-1.394,0.503,-0.417
2018-12-10 13:52:37,-0.266,0.895,0.391,0,1,0,0,-1.404,0.82,-0.361
2018-12-10 13:52:38,-0.297,0.887,0.395,0,1,0,0,-1.483,0.777,-0.333
2018-12-10 13:52:39,-0.23,0.875,0.402,0,1,0,0,-1.313,0.712,-0.284
2018-12-10 13:52:40,-0.262,0.914,0.41,0,1,0,0,-1.394,0.922,-0.228
2018-12-10 13:52:41,-0.227,0.863,0.391,0,1,0,0,-1.305,0.648,-0.361
2018-12-10 13:52:42,-0.227,0.906,0.402,0,1,0,0,-1.305,0.879,-0.284
2018-12-10 13:52:43,-0.203,0.914,0.398,0,1,0,0,-1.244,0.922,-0.312
2018-12-10 13:52:44,-0.223,0.918,0.41,0,1,0,0,-1.295,0.943,-0.228
2018-12-10 13:52:45,-0.242,0.883,0.387,0,1,0,0,-1.343,0.755,-0.389
2018-12-10 13:52:46,-0.211,0.883,0.391,0,1,0,0,-1.265,0.755,-0.361
2018-12-10 13:52:47,-0.211,0.898,0.414,0,1,0,0,-1.265,0.836,-0.2
2018-12-10 13:52:48,-0.219,0.883,0.414,0,1,0,0,-1.285,0.755,-0.2
2018-12-10 13:52:49,-0.219,0.887,0.41,0,1,0,0,-1.285,0.777,-0.228
2018-12-10 13:52:50,-0.219,0.875,0.398,0,1,0,0,-1.285,0.712,-0.312
2018-12-10 13:52:51,-0.23,0.91,0.43,0,1,0,0,-1.313,0.9,-0.088
2018-12-10 13:52:52,-0.234,0.875,0.418,0,1,0,0,-1.323,0.712,-0.172
